,날짜,댓글,조회수,좋아요,싫어요
0,2022-07-01,중소기업 하는듯이  직원들  일을 시키고,4,0,0
1,2022-07-01,4월21일 글이 현실로,94,1,2
2,2022-07-01,잘~못~ 샀구나!!,121,2,1
3,2022-07-01,대차상환을,275,3,0
4,2022-07-01,●경기하강 에도 OLED TV 판매만 늘...,202,16,6
5,2022-07-01,환율,94,1,2
6,2022-07-01,LG유플러스13000원 1천원차이,79,0,0
7,2022-07-01,전 종목이 앞으로도 떨어질거라 합니다,188,5,0
8,2022-07-01,♥?전군!  출정하여라!!♥?,124,3,3
9,2022-07-01,대가리 내밀면  패라고 혔다  ㅋ  ㅋ,72,1,2
10,2022-07-01,아 아침에 tv 볼때보다 화딱지가 나네,86,0,1
11,2022-07-01,적자전환이군요,215,4,3
12,2022-07-01,허허 다음주 분명 나타날 것이다,121,2,9
13,2022-07-01,13층에 인생걸어본다,147,3,3
14,2022-07-01,"월요일 우상향 평단 14,600",100,4,2
15,2022-07-01,"●올해 TV 판매 2.2%, 474만대 ...",252,8,4
16,2022-07-01,가치 살펴보기!!!!!!!!!,170,9,1
17,2022-07-01,ㅋㅋ외인기관,155,0,2
18,2022-07-01,희망회로 심어주는 사람들이 제일 나쁜 사...,95,5,2
19,2022-07-01,월요일 아침부터 개미들 무지성 풀매수네요...,218,2,4
20,2022-07-01,대한민국의 세계 제일 공매도 시스템,150,7,2
21,2022-07-01,경험담,247,10,8
22,2022-07-01,제일 손쉽게 돈벌기 위해,112,2,1
23,2022-07-01,신용 단타로 순간적으로는 오르겠네요…,82,1,0
24,2022-07-01,금융위가 큰거 하나 터트렸네요…,213,1,2
25,2022-07-01,와...,93,1,1
26,2022-07-01,왜 엘디에는 과격한 주주는 없나,109,2,1
27,2022-07-01,수급 좋누,77,1,0
28,2022-07-01,●LGD의 주가 산정 기준을 변경해야,169,5,4
29,2022-07-01,시외로 새로운 고객님들이 또 들어오시네요...,89,1,0
30,2022-07-01,Oled?,78,1,0
31,2022-07-01,●차량용 50인치대 롤러블·투명 OLED...,209,1,5
32,2022-07-01,헉,68,0,0
33,2022-07-01,LG디스플레이 등 긴급공시 정리,243,1,2
34,2022-07-01,●LGD가 일본 렉서스 차량 OLED 개...,341,5,12
35,2022-07-01,이제 무의미하다,133,9,0
36,2022-07-01,신용개미한테는 미안하지만 어차피 신용개미...,170,1,2
37,2022-07-01,LG디스플레이 소액주주 17만명,207,14,0
38,2022-07-01,기관 외국인,81,1,1
39,2022-07-01,현재 코스피를 방어해줄 버팀목이 없어요…,105,2,0
40,2022-07-01,"상식을 파괴하는 동네, 모두 알지 디저서...",57,0,0
41,2022-07-01,하이디스 매각범들은 을사오적급,57,0,0
42,2022-07-01,ㅅㅍ 피말리며 조금씩 조금씩 하강시키네,116,2,1
43,2022-07-01,허허 폭탄 터트릴려고 준비는 했었네,124,0,2
44,2022-07-01,금일 매동 및 공매도 현황,238,3,1
45,2022-07-01,공매도,83,2,0
46,2022-07-01,■■돼지목의 진주목걸이 엘디플을 삼성에 ...,101,1,1
47,2022-07-01,수급,59,0,0
48,2022-07-01,외국인 많이 사는데,216,2,0
49,2022-07-01,AUO - 8% ㅎㄷㄷ,210,1,5
50,2022-07-01,애들아~~,101,1,1
51,2022-07-01,엘디보다 더빠진 종목 천지삐깔이다 엘디만...,121,1,5
52,2022-07-01,주말들 잘 보내라 신용그지들,70,0,0
53,2022-07-01,상해봉쇄때 폭락한 LGD,168,8,3
54,2022-07-01,솔직히 평단 2만 미만은,301,5,3
55,2022-07-01,지금이 하락 추세라는 결정적인 증거.,208,5,0
56,2022-07-01,팔자려니 해야 혀..,82,0,0
57,2022-07-01,머가리,64,1,0
58,2022-07-01,지금외인기관돌려막으면서버티는중 왜?,138,0,1
59,2022-07-01,신아!,133,0,0
60,2022-07-01,세월이 약이다,104,3,4
61,2022-07-01,매수를 생각하고 있는 사람들에게..,189,4,1
62,2022-07-01,LG디스플레이는 LG관계사만 혜택,177,8,0
63,2022-07-01,공매도ㅠ욕하는 사람 이해가 안 감,114,1,4
64,2022-07-01,답글:터진입이라고 나불대긴,39,0,0
65,2022-07-01,엘디가 버틴다고 ???,84,1,0
66,2022-07-01,지금부터 담아보자,64,2,1
67,2022-07-01,기록 제조기???,52,1,0
68,2022-07-01,500원 하락이네,55,1,0
69,2022-07-01,사흘째 버티고 있는게 위태롭다.,73,2,0
70,2022-07-01,지금은 어떤 종목이든 살때가 아니예요…,123,3,1
71,2022-07-01,회사 그냥 팔아라 ㅎ,52,6,0
72,2022-07-01,다음주 우상향 평단 14600,57,0,1
73,2022-07-01,선진국 좋아하네,54,5,0
74,2022-07-01,Boe에 매각해라,69,7,0
75,2022-07-01,이정도 시총이면 이회사가 발행한 회사채는...,110,2,0
76,2022-07-01,하락을 즐기자 내가 용쓴다고 바뀌지 않아...,61,0,0
77,2022-07-01,주식전문가시키들 지수 1500 갈지도,49,0,1
78,2022-07-01,(긴급) 공시떳네 ㅋㅋㅋ,141,2,1
79,2022-07-01,윤씨 좋다고 찍은 6070대 자업자득,109,14,0
80,2022-07-01,Lg전자에 oled 헐값 납품,61,0,0
81,2022-07-01,이건 그냥 ㅈ된거야,62,3,0
82,2022-07-01,다음주 2100 지수,53,1,0
83,2022-07-01,난 승자 왜??????????,73,1,1
84,2022-07-01,왜캐,38,0,0
85,2022-07-01,핵보다 더 강력한 무기가 있다. 핵보유국...,92,9,3
86,2022-07-01,외인 기관 어마어마하게 매집하네요,150,3,2
87,2022-07-01,요즘 가전제품 누가사노,49,0,1
88,2022-07-01,시가총액보다 감가상각액이 높은 기업,200,12,0
89,2022-07-01,밍기적 밍기적,46,0,0
90,2022-07-01,대형OLED부분 영업익 올해 2000억,198,8,1
91,2022-07-01,내년 3조 투자 중단해라 !!!,105,10,0
92,2022-07-01,메크로를 보세요 어차피 엘디도 큰 세계경...,158,4,4
93,2022-07-01,바닥이 안보여,45,0,1
94,2022-07-01,등신들  지들 손가락으로 뽑아놓고선 뭔 ...,59,3,1
95,2022-07-01,내린다 1만원 온나 십어먹어줄께 ~~,42,0,0
96,2022-07-01,오늘 미장,51,0,0
97,2022-07-01,월요일 미장 휴장이예요…,108,5,2
98,2022-07-01,답글:rokk 죽도리 개공알바의,49,1,0
99,2022-07-01,공매도 공매도 공매도,48,0,0
100,2022-07-01,마지막 복수 타임~~,63,0,2
101,2022-07-01,그나마 LGD,85,3,1
102,2022-07-01,두번다시는,65,1,0
103,2022-07-01,빨리 2000 가자,59,1,1
104,2022-07-01,답글:syst 알바견 열일한다,40,0,0
105,2022-07-01,도대체  대통령이란자는,162,10,2
106,2022-07-01,올해는 적자네.,74,3,2
107,2022-07-01,주가는,49,0,0
108,2022-07-01,종가에 외국형들이 사놓은 선물 던지면 더...,143,2,2
109,2022-07-01,답글:rokk  죽도리 개공 알바야,51,0,0
110,2022-07-01,결국 기관놈들 코스피 장초에 샀던거 다 ...,97,1,1
111,2022-07-01,답글:rokk  죽도리 개공 알바야,39,0,0
112,2022-07-01,급하게 생각하지 말도록~~,121,1,2
113,2022-07-01,오늘 2300 깨질수도 있겠네요…,68,0,2
114,2022-07-01,답글:rokk  죽도리 개공 알바야,31,0,0
115,2022-07-01,물량 매집하는 저점 윗호가(14450)에...,72,2,1
116,2022-07-01,신용개미 뒤졌네,96,2,2
117,2022-07-01,답글:syst  개공 알바 개미는 안 뒤졌네,26,0,0
118,2022-07-01,전세계에서 이런 나라 없을겨,134,6,1
119,2022-07-01,답글:syst 공매 알바 천국,27,0,0
120,2022-07-01,애들아..,90,1,3
121,2022-07-01,주관적인 판단에선,102,1,0
122,2022-07-01,보합이다,50,0,1
123,2022-07-01,바닥인거 같아서 일단,134,2,0
124,2022-07-01,선물 304.90,57,0,1
125,2022-07-01,하락전환시 1등으로 하락,50,1,2
126,2022-07-01,종목이 불안하므,49,0,0
127,2022-07-01,나머지 까지 몰팡 대 성공!!!,84,0,1
128,2022-07-01,지수가 불안하므,50,0,0
129,2022-07-01,박스피 1400 까지 가겠다,47,1,1
130,2022-07-01,공매도에 완전 장악된 양아치회사,74,6,0
131,2022-07-01,한투가 가지고 노는거 보니 아직 멀었네요...,79,1,2
132,2022-07-01,답글:rokk  죽도리 개공 알바야,22,0,0
133,2022-07-01,자 이번에도 누가 옳을지... 보잣~,68,0,2
134,2022-07-01,공매도 상환기간 무제한 헬조선 유일,69,2,1
135,2022-07-01,최근 OLED패널투자만 30조이상이다!!...,211,3,3
136,2022-07-01,기관이랑 외국형 서로 손 바꿨네요…,95,3,0
137,2022-07-01,14050원 깨면 12000원 까지 직행,60,1,0
138,2022-07-01,하락전환,54,1,0
139,2022-07-01,LG디스플레이 목표주가,109,1,0
140,2022-07-01,시총 1…2위 엄청 밀어대네요…,77,1,0
141,2022-07-01,비나이다비나이다!!,67,3,0
142,2022-07-01,진정  주목해야  하는  것,87,0,0
143,2022-07-01,현금 남기지 마래잉...이~,161,2,2
144,2022-07-01,이거,67,0,0
145,2022-07-01,코스피에 신용 개미가 늘고 있네요…,86,2,0
146,2022-07-01,대가리  내밀면 패야된다,60,2,2
147,2022-07-01,웅장 몰팡 대 선언!!,64,0,1
148,2022-07-01,물량 매집하는 저점 윗호가(14450)에...,58,1,0
149,2022-07-01,웅장 추천 5선!!!!,113,2,2
150,2022-07-01,쫄보는 집구석 들어가라.,75,1,2
151,2022-07-01,헬조선 활짝 열렸다,67,2,2
152,2022-07-01,천기누설!!,92,1,2
153,2022-07-01,지수2300 깨진다,51,0,2
154,2022-07-01,오늘은 14200원 마감,48,0,2
155,2022-07-01,곧 하락전환,49,0,2
156,2022-07-01,오늘도 보합근처까지 가면..,81,1,0
157,2022-07-01,지수 이기는 종목 없어요…,48,0,0
158,2022-07-01,나의 팬들을 위해~,52,0,0
159,2022-07-01,어라?,45,0,0
160,2022-07-01,삼성전자 하락시 얘도 하락,48,1,1
161,2022-07-01,오늘 이종목 ㅆ호재임?,49,0,0
162,2022-07-01,오늘은 오랜만에 L전이랑 연동하는 느낌인...,61,1,0
163,2022-07-01,x x 잡주  헐  공매도 다시 늘어나네,40,0,1
164,2022-07-01,역시 지수가 도와주지를 않네요…,39,0,0
165,2022-07-01,웅장은 항상 옳았다!!,68,2,1
166,2022-07-01,오늘 장사끝~,52,0,0
167,2022-07-01,나 다시 사랑하지 않으리 죽어도 사랑하지...,65,1,0
168,2022-07-01,주봉 양봉 나오나?,57,0,0
169,2022-07-01,트릭에 속지마라,76,3,1
170,2022-07-01,ㅋㅋㅋㅋ  스릴 만점이네.,67,0,1
171,2022-07-01,살랑 살랑 미끼 흔들면서 개미 꼬시기 들...,73,3,0
172,2022-07-01,외인ㅋㅋ 속인다고 사더만 결국 다시 매도...,77,2,0
173,2022-07-01,매수 매도가 중요한게 아님,74,0,1
174,2022-07-01,웅장,58,0,1
175,2022-07-01,"17000, 16000, 15000, 1...",95,1,1
176,2022-07-01,공매도세력이 절대 주가 안올림,68,1,2
177,2022-07-01,개미가받아먹길원하는데안오네,69,3,0
178,2022-07-01,시작은 좋네요…,89,1,2
179,2022-07-01,아..,63,1,1
180,2022-07-01,ㅎㅎㅎㅎㅎㅎㅎㅎㅎ,64,0,2
181,2022-07-01,웅장,70,0,4
182,2022-07-01,절대매수금지,145,4,4
183,2022-07-01,공매도 항의 전화,106,6,1
184,2022-07-01,오늘은 연기금 포지션?,85,1,0
185,2022-07-01,3분기 적자에 ....,85,0,0
186,2022-07-01,ㅎㅎㅎㅎㅎㅎㅎㅎㅎ,55,0,0
187,2022-07-01,내 주식 다 날라가도 되니깐,120,2,0
188,2022-07-01,허허 뻥이다. 허허,69,0,3
189,2022-07-01,개미들아 게시판에 욕해,60,0,0
190,2022-07-01,매수금지,64,1,3
191,2022-07-01,새로운 어플리케이션만이 살길이다.,57,0,0
192,2022-07-01,기관외국인도 하락 을 원하는 종목,65,0,0
193,2022-07-01,14000원 예상,50,0,2
194,2022-07-01,웅장의 승리를!! 위하엿~,49,0,0
195,2022-07-01,디플은 하락을 원하는 사람이 99%다 ㅎ...,54,0,0
196,2022-07-01,300원 하락 출발,50,0,1
197,2022-07-01,엘디 반대매매,59,0,0
198,2022-07-01,이 병진 ㅅ ㅐ끼  하는짓보니,45,0,0
199,2022-07-01,공매도 금지해라고,58,1,0
200,2022-07-01,물타기?,44,0,0
201,2022-07-01,우찌 신용이 늘어 뿌렀나?,84,2,0
202,2022-07-01,핼조선 양아치증권사 매일 돌아가면서 목표...,78,0,1
203,2022-07-01,걍 다 자르고 공장 문 닫아라,68,2,1
204,2022-07-01,오늘은 400원 하락시킨단다,79,1,2
205,2022-07-01,웅장은 승리한닷~,81,1,2
206,2022-07-01,"2706억, 519억",155,4,3
207,2022-07-01,투자의 시대가 도래하고 있다.,83,0,0
208,2022-07-01,전약후강,79,1,1
209,2022-07-01,세상에는 ...,89,3,4
210,2022-07-01,야들아 현재상황에서,180,3,3
211,2022-07-01,"KB, 2분기·3분기 적자 기록할 것",314,4,10
212,2022-07-01,3분기도 적자 전망 이라네,143,7,1
213,2022-07-01,이 주식의 하락은 찬티 때문,119,1,4
214,2022-07-01,바닥은,232,0,4
215,2022-07-01,매일 내리는게 신남 나의 추매의시간,137,3,2
216,2022-07-01,"오늘도 우상향 평단가 14,750",110,0,2
217,2022-07-01,미국 종합지수,247,6,4
218,2022-07-01,애들아 이제 자자~~,192,0,4
